,chip,y,x,n_cells,label
403,0,5396.81026099795,10911.886526753444,8,404.0
404,0,5395.57522370171,11448.579761095863,0,405.0
405,0,5394.399182909364,11981.678702992453,0,406.0
406,0,5393.276897759534,12510.80293844801,1,407.0
407,0,5392.289171744593,13036.592236547756,0,408.0
408,0,5390.867305790935,13569.438041601716,4,409.0
409,0,5389.854620496277,14102.928713007886,7,410.0
410,0,5388.4158678446265,14643.465705135828,7,411.0
411,0,5387.429596228294,15168.743293369003,1,412.0
412,0,5386.5309401935,15706.080000048629,6,413.0
413,0,5384.828550719709,16246.101415965266,1,414.0
414,0,5384.251844154742,16775.75053087183,8,415.0
415,0,5383.151128815328,17308.85390858142,2,416.0
416,0,5381.816788577496,17841.82143852192,6,417.0
417,0,5380.408014859815,18371.463957032007,3,418.0
418,0,5379.391170882817,18908.41229003878,6,419.0
419,0,5378.609045050996,19441.3812555292,2,420.0
420,0,5376.956835969158,19974.483211026785,4,421.0
421,0,5376.070169607112,20515.286934013508,1,422.0
422,0,5374.80755813263,21040.819292395165,5,423.0
423,0,5865.67384912426,1066.130706366359,1,424.0
424,0,5864.230362874985,1591.2449322622451,4,425.0
425,0,5863.889037641628,2123.8978810898698,4,426.0
426,0,5862.921675385664,2657.6009494881528,4,427.0
427,0,5862.030020492062,3190.5283936889,4,428.0
428,0,5861.599589703646,3723.935486488119,1,429.0
429,0,5859.889213953513,4256.786775233932,3,430.0
430,0,5858.862985484592,4790.010026757391,3,431.0
431,0,5857.866360990782,5322.742804329632,2,432.0
432,0,5856.727940380019,5852.363480054807,2,433.0
433,0,5855.339218927398,6382.473726603862,1,434.0
434,0,5854.159565328962,6918.318974456173,4,435.0
435,0,5853.282748240595,7455.149806686015,3,436.0
436,0,5852.152879146157,7980.792111138136,1,437.0
437,0,5850.991486002684,8521.100162146897,0,438.0
438,0,5849.724605286174,9043.64118473746,1,439.0
439,0,5848.446088802446,9576.36580715319,5,440.0
440,0,5847.576751638439,10109.716798489926,2,441.0
441,0,5846.430848450893,10642.818549079022,1,442.0
442,0,5845.262986631262,11186.135983970202,2,443.0
443,0,5844.40051282145,11712.255694874715,2,444.0
444,0,5843.122121130673,12248.960543429768,2,445.0
445,0,5842.124870650525,12774.97750194377,0,446.0
446,0,5840.709881363799,13304.35017089212,0,447.0
447,0,5839.951919675135,13837.8144816833,4,448.0
448,0,5838.410592411921,14374.03474693423,2,449.0
449,0,5837.264689224374,14907.136497523326,1,450.0
450,0,5835.858381565033,15436.50854722646,6,451.0
451,0,5834.577458773613,15976.458513363355,6,452.0
